step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
1,0.000400,11.000000,0.000000,37.750000,24.000000,66.000000,0.000000,37.750000,24.000000,66.000000,0.428068,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
2,-0.024800,10.906250,0.265165,32.250000,18.000000,54.000000,0.000000,32.250000,18.000000,54.000000,0.540174,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
3,0.000400,11.000000,0.000000,34.843750,24.000000,67.000000,0.000000,34.843750,24.000000,67.000000,0.446174,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
4,0.000500,11.000000,0.000000,35.093750,24.000000,57.000000,0.000000,35.093750,24.000000,57.000000,0.488642,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
5,0.000500,11.000000,0.000000,34.593750,24.000000,53.000000,0.000000,34.593750,24.000000,53.000000,0.506057,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
6,0.000500,11.000000,0.000000,35.625000,24.000000,67.000000,0.000000,35.625000,24.000000,67.000000,0.565266,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
7,0.000400,11.000000,0.000000,36.531250,24.000000,60.000000,0.000000,36.531250,24.000000,60.000000,0.422749,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
8,0.000400,11.000000,0.000000,35.718750,24.000000,53.000000,0.000000,35.718750,24.000000,53.000000,0.423934,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
9,0.000500,11.000000,0.000000,34.062500,24.000000,49.000000,0.000000,34.062500,24.000000,49.000000,0.460273,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
10,0.000500,11.000000,0.000000,35.937500,25.000000,51.000000,0.000000,35.937500,25.000000,51.000000,0.473088,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
